id_transaccion,fecha_compra,nombre_empresa_cliente,categoria_producto,producto_sku,cantidad,precio_unitario,metodo_pago,estado_pedido,descuento_aplicado
1,3/23/2024,Agivu,insumos gastronómicos de alta calidad,"Pasta - Spaghetti, Dry",270,$1087.33,transferencia,error: undefined method `first' for nil:NilClass,25
2,10/27/2025,Devshare,insumos gastronómicos de alta calidad,Pork - Smoked Kassler,168,$4379.50,transferencia,,7
3,1/22/2026,Blogspan,insumos gastronómicos de alta calidad,Versatainer Nc - 8288,149,$4220.24,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,26
4,11/23/2024,,insumos gastronómicos de alta calidad,Appetizer - Mushroom Tart,497,$2520.10,tarjeta débito,error: undefined method `first' for nil:NilClass,7
5,12/2/2024,Feedspan,insumos gastronómicos de alta calidad,Nacho Chips,98,$2524.85,tarjeta de crétdito,,16
6,5/18/2024,Trilia,insumos gastronómicos de alta calidad,Bread - 10 Grain,436,$4278.01,Tarjeta,,
7,11/4/2024,Zoozzy,insumos gastronómicos de alta calidad,Cheese - Grana Padano,232,$4205.72,cheque a 30 dias,error: undefined method `first' for nil:NilClass,15
8,7/1/2025,Vimbo,insumos gastronómicos de alta calidad,Calypso - Black Cherry Lemonade,413,$827.21,Efectivo,error: undefined method `first' for nil:NilClass,26
9,10/9/2024,Youspan,insumos gastronómicos de alta calidad,Flour - Masa De Harina Mexican,37,$2396.33,cheque a 30 dias,error: undefined method `first' for nil:NilClass,8
10,3/19/2025,Devpoint,insumos gastronómicos de alta calidad,"Cup - 3.5oz, Foam",196,$3129.95,Cheque,error: undefined method `first' for nil:NilClass,
11,8/15/2025,Photospace,insumos gastronómicos de alta calidad,Muffin - Blueberry Individual,193,$2484.76,transferencia,error: undefined method `first' for nil:NilClass,24
12,8/23/2024,Yakidoo,insumos gastronómicos de alta calidad,Cake - Bande Of Fruit,309,$2167.19,Cheque,error: undefined method `first' for nil:NilClass,
13,11/20/2024,Jabberstorm,insumos gastronómicos de alta calidad,Silicone Paper 16.5x24,82,$700.24,Transferencia,error: undefined method `first' for nil:NilClass,14
14,4/8/2026,Tazzy,insumos gastronómicos de alta calidad,Beef - Sushi Flat Iron Steak,8,$3928.91,Transferencia,error: undefined method `first' for nil:NilClass,
15,4/8/2025,Thoughtstorm,insumos gastronómicos de alta calidad,Vinegar - White,257,$3411.69,tarjeta débito,error: undefined method `first' for nil:NilClass,8
16,3/26/2025,Demivee,insumos gastronómicos de alta calidad,Cream - 35%,16,$4395.58,tarjeta débito,error: undefined method `first' for nil:NilClass,
17,5/15/2026,Rooxo,insumos gastronómicos de alta calidad,Beans - Fava Fresh,340,$3233.30,Tarjeta,error: undefined method `first' for nil:NilClass,
18,4/15/2025,Yakitri,insumos gastronómicos de alta calidad,"Veal - Brisket, Provimi, Bone - In",397,$2986.92,Transferencia,error: undefined method `first' for nil:NilClass,
19,2/12/2024,Photobug,insumos gastronómicos de alta calidad,Pears - Anjou,128,$3106.27,TRANSF.,error: undefined method `first' for nil:NilClass,
20,2/20/2025,,insumos gastronómicos de alta calidad,"Asparagus - Green, Fresh",410,$2990.77,Transferencia,error: undefined method `first' for nil:NilClass,2
21,5/30/2025,Centizu,insumos gastronómicos de alta calidad,Blouse / Shirt / Sweater,82,$3776.42,TRANSF.,,18
22,8/22/2024,Meevee,insumos gastronómicos de alta calidad,Chick Peas - Canned,493,$3375.52,Efectivo,error: undefined method `first' for nil:NilClass,
23,1/26/2026,Yodoo,insumos gastronómicos de alta calidad,Bandage - Flexible Neon,453,$4870.48,transferencia,,
24,2/16/2026,Gigaclub,insumos gastronómicos de alta calidad,V8 Splash Strawberry Banana,217,$3041.53,transferencia,error: undefined method `first' for nil:NilClass,18
25,3/4/2026,Twinder,insumos gastronómicos de alta calidad,Cheese Cloth No 100,296,$4103.06,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,18
26,1/17/2025,Rhyzio,insumos gastronómicos de alta calidad,Goulash Seasoning,210,$4273.31,cheque a 30 dias,error: undefined method `first' for nil:NilClass,30
27,10/20/2024,Gigaclub,insumos gastronómicos de alta calidad,"Rum - White, Gg White",449,$4798.94,Transferencia,error: undefined method `first' for nil:NilClass,13
28,7/2/2025,Oyoyo,insumos gastronómicos de alta calidad,Crackers Cheez It,305,$4034.38,TRANSF.,,7
29,1/27/2026,Twitterworks,insumos gastronómicos de alta calidad,"Bread - Roll, Soft White Round",269,$2067.35,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,9
30,9/18/2025,Snaptags,insumos gastronómicos de alta calidad,Island Oasis - Pina Colada,114,$2271.63,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,13
31,8/20/2024,Kazu,insumos gastronómicos de alta calidad,"Bag - Bread, White, Plain",451,$1521.92,transferencia,,11
32,10/7/2025,Oodoo,insumos gastronómicos de alta calidad,Clementine,320,$3217.35,tarjeta débito,error: undefined method `first' for nil:NilClass,
33,10/16/2024,Tazzy,insumos gastronómicos de alta calidad,"Seedlings - Buckwheat, Organic",153,$4917.86,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,20
34,10/30/2024,Kwideo,insumos gastronómicos de alta calidad,Tart - Raisin And Pecan,365,$3630.59,tarjeta de crétdito,error: undefined method `first' for nil:NilClass,21
35,6/15/2026,Edgepulse,insumos gastronómicos de alta calidad,Sauce - Rosee,490,$4706.08,Tarjeta,error: undefined method `first' for nil:NilClass,9
36,10/13/2025,Geba,insumos gastronómicos de alta calidad,Pork - Backs - Boneless,380,$931.76,Tarjeta,,10
37,1/8/2026,Zoomlounge,insumos gastronómicos de alta calidad,Bread Base - Goodhearth,67,$3584.85,transferencia,error: undefined method `first' for nil:NilClass,16
38,4/9/2024,Kimia,insumos gastronómicos de alta calidad,Sauce - Plum,355,$4625.57,TRANSF.,error: undefined method `first' for nil:NilClass,24
39,3/12/2024,Ailane,insumos gastronómicos de alta calidad,"Chicken - Thigh, Bone In",78,$2069.37,Efectivo,error: undefined method `first' for nil:NilClass,11
